"essay","model","score"
"14615_1","DATASET_5_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=50",0.87429
"14615_1","DATASET_4_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=200",0.869317
"14615_1","DATASET_3_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=300",0.875904
"14615_1","DATASET_8_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=300",0.870847
"14615_1","DATASET_2_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=200",0.867676
"14615_1","DATASET_5_nn_1",0.827211
"14615_1","DATASET_2_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=100",0.873235
"14615_1","DATASET_4_nn_2",0.794883
"14615_1","DATASET_6_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=300",0.876042
"14615_1","DATASET_6_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=100",0.87607
"14615_1","DATASET_3_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=100",0.886269
"14615_1","DATASET_1_nn_2",0.813381
"14615_1","DATASET_2_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=50",0.880036
"14615_1","DATASET_3_nn_1",0.851286
"14615_1","DATASET_6_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=200",0.880554
"14615_1","DATASET_5_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=200",0.872057
"14615_1","DATASET_7_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=200",0.89276
"14615_1","DATASET_7_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=100",0.894649
"14615_1","DATASET_8_nn_3",0.821264
"14615_1","DATASET_3_rf_1",0.81692
"14615_1","DATASET_2_nn_1",0.851138
"14615_1","DATASET_7_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=300",0.883652
"14615_1","DATASET_1_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=200",0.880989
"14615_1","DATASET_2_nn_2",0.82725
"14615_1","DATASET_3_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=200",0.868241
"14615_1","DATASET_6_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=50",0.882284
"14615_1","HUMAN",0.918371
"14615_1","ENSEMBLE",0.889687
"16205_1","DATASET_5_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=300",0.795169
"16205_1","DATASET_4_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=200",0.813832
"16205_1","DATASET_3_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=300",0.802871
"16205_1","DATASET_5_nn_1",0.764922
"16205_1","DATASET_8_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=100",0.805784
"16205_1","DATASET_7_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=200",0.812827
"16205_1","DATASET_7_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=300",0.803838
"16205_1","DATASET_1_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=100",0.794498
"16205_1","DATASET_6_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=100",0.814441
"16205_1","DATASET_2_nn_1",0.762185
"16205_1","DATASET_4_nn_1",0.765725
"16205_1","DATASET_1_nn_2",0.762202
"16205_1","DATASET_1_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=50",0.7828
"16205_1","DATASET_2_nn_2",0.778597
"16205_1","DATASET_3_nn_2",0.776658
"16205_1","DATASET_6_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=200",0.816658
"16205_1","DATASET_6_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=300",0.817254
"16205_1","DATASET_4_nn_2",0.771939
"16205_1","DATASET_5_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=50",0.802546
"16205_1","DATASET_4_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=300",0.818273
"16205_1","DATASET_5_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=200",0.791297
"16205_1","DATASET_7_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=50",0.802221
"16205_1","DATASET_1_nn_1",0.779817
"16205_1","DATASET_3_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=200",0.809975
"16205_1","DATASET_2_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=300",0.818273
"16205_1","DATASET_8_nn_3",0.767676
"16205_1","DATASET_3_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=50",0.795767
"16205_1","DATASET_5_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=100",0.803517
"16205_1","DATASET_2_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=50",0.804807
"16205_1","DATASET_3_rf_1",0.799648
"16205_1","DATASET_1_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=300",0.800954
"16205_1","DATASET_3_nn_1",0.768806
"16205_1","DATASET_7_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=100",0.809662
"16205_1","DATASET_2_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=100",0.812521
"16205_1","DATASET_8_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=300",0.80867
"16205_1","DATASET_4_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=50",0.791767
"16205_1","DATASET_3_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=100",0.802871
"16205_1","DATASET_2_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=200",0.816658
"16205_1","DATASET_8_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=200",0.813832
"16205_1","DATASET_6_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=50",0.804164
"16205_1","DATASET_8_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=50",0.793141
"16205_1","DATASET_4_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=100",0.813526
"16205_1","DATASET_1_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=200",0.804158
"16205_1","HUMAN",0.751662
"16205_1","ENSEMBLE",0.824182
"16608_1","DATASET_7_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=50",0.859792
"16608_1","DATASET_5_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=200",0.864163
"16608_1","DATASET_4_nn_2",0.832324
"16608_1","DATASET_4_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=300",0.864262
"16608_1","DATASET_4_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=200",0.865362
"16608_1","DATASET_5_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=100",0.859236
"16608_1","DATASET_3_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=200",0.853996
"16608_1","DATASET_1_nn_2",0.849084
"16608_1","DATASET_1_nn_1",0.857437
"16608_1","DATASET_1_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=300",0.853937
"16608_1","DATASET_6_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=50",0.865486
"16608_1","DATASET_2_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=100",0.864087
"16608_1","DATASET_1_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=200",0.856855
"16608_1","DATASET_8_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=300",0.86002
"16608_1","DATASET_1_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=100",0.858611
"16608_1","DATASET_6_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=300",0.861635
"16608_1","DATASET_1_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=50",0.854742
"16608_1","DATASET_2_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=300",0.859473
"16608_1","DATASET_4_nn_1",0.845349
"16608_1","DATASET_5_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=300",0.865676
"16608_1","DATASET_3_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=300",0.86313
"16608_1","DATASET_8_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=200",0.861238
"16608_1","DATASET_3_nn_1",0.860523
"16608_1","DATASET_4_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=100",0.859818
"16608_1","DATASET_6_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=100",0.863532
"16608_1","DATASET_3_nn_2",0.851571
"16608_1","DATASET_7_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=200",0.858665
"16608_1","DATASET_5_nn_1",0.849726
"16608_1","DATASET_2_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=200",0.859346
"16608_1","DATASET_7_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=300",0.856734
"16608_1","DATASET_3_rf_1",0.828314
"16608_1","DATASET_4_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=50",0.863428
"16608_1","DATASET_8_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=50",0.861434
"16608_1","DATASET_3_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=50",0.8557
"16608_1","DATASET_2_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=50",0.857414
"16608_1","DATASET_7_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=100",0.86062
"16608_1","DATASET_3_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=100",0.865251
"16608_1","DATASET_2_nn_2",0.851506
"16608_1","DATASET_2_nn_1",0.855105
"16608_1","DATASET_8_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=100",0.859844
"16608_1","DATASET_5_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=50",0.854902
"16608_1","DATASET_6_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=200",0.86111
